content_id,product_ids,lengths
2552,"['3e87', '3e64']",2
2598,['c2b0'],1
2609,['9d5e'],1
2671,['f165'],1
2bc1,"['98d4', '98e8', '98f1', '980f']",4
2cd7,['6032'],1
2db9,['244a'],1
2e13,['f573'],1
2ff4,['ed89'],1
309d,['e0d6'],1
3168,"['0291', '01cf', '0280', '0345']",4
321b,['c52f'],1
32b2,['9bca'],1
336f,"['6692', '668f']",2
33a3,['9d02'],1
33f3,['be4a'],1
345f,"['9b0d', '9b0a', '9b10']",3
7b62,['6437'],1
7bf3,['b8ab'],1
7c24,"['8875', '8853', '888a', '886c']",4
7cad,"['01a8', '01c8']",2
7d40,['e1a3'],1
7d73,"['9b0d', '6692']",2
7db1,['f165'],1
7e97,"['00cf', '299d', '296b', '2951', 'd721', '29aa']",6
7fb4,['5894'],1
808f,"['228c', '2274', '226e']",3
81ff,"['471f', '5f06', '5f15']",3
82c6,"['5fb5', '5fb2', '5fb8']",3
834c,"['030a', '02f3', '0343']",3
8410,['97a4'],1
84ff,['d704'],1
85a1,"['f5ce', 'f5b1', 'f447', '9e77']",4
8675,['e167'],1
90b3,['f75a'],1
9118,"['8853', '8842']",2
91de,['94b7'],1
9287,['8132'],1
9306,['8896'],1
93cc,"['9474', '93e7']",2
945b,['f727'],1
94ab,"['883a', '887e', '886c', '8853', '8875', '888a', '884a', '8842', '885b', '8865']",10
9563,"['e3a0', 'e3a6', 'e391', 'e3ac', 'e397', 'e3a3', 'e365', 'e42d', 'e43f', 'e381', 'e39a', 'e3a9', 'e427', 'e3b0', 'e442', 'e394', 'e39d', 'e439', 'e430', 'e3b3', 'e3af']",21
98b1,['f71d'],1
996d,"['0078', '0169', '015d', '016c']",4
99b4,['9a4c'],1
99d9,['2620'],1
9b47,"['bf17', 'bf2f']",2
9bba,['f63a'],1
9c05,['2e47'],1
9cb4,['6f18'],1
9d45,"['050b', '0694']",2
5d04,['3499'],1
5dd3,"['01b6', '01bf', '02f7']",3
5e9e,"['019c', '019f']",2
6020,"['e359', 'e350']",2
604b,['01c8'],1
60bc,"['890d', '894a', '8896', '88cd', '88d5', '8919', '88ed']",7
6138,['6692'],1
616f,"['01f5', '01c8', '01cb']",3
6187,"['8896', '88a4']",2
61fe,['9ee4'],1
6258,['e451'],1
6295,"['9f1c', '9ebc', 'fd05', '84f4']",4
62cf,['9956'],1
62df,['fd60'],1
635d,['6692'],1
6396,"['fd60', 'fd3f', 'fd58', 'fd2b']",4
63c0,"['e0df', '998f', '997d', 'e167']",4
6419,['9b10'],1
6446,"['9ee9', '9eef']",2
64be,['1f81'],1
9870,['fde4'],1
995c,['c498'],1
998b,['c046'],1
9a78,"['e9df', 'e9dc']",2
9c44,['f39b'],1
9cac,"['8865', '8875', '8842']",3
9d1b,['f6dd'],1
9d28,['8865'],1
9d9b,['9989'],1
9e07,"['88b9', '88ed']",2
9ee8,['9fe9'],1
9f8d,"['8865', '883a', '888a', '885b']",4
a045,['1f75'],1
a10b,"['894a', '883a', '8842']",3
a1bb,['e0df'],1
a20a,"['885b', '8842', '8865', '886c']",4
a28b,['1f49'],1
a2b2,"['9b10', '9b0a']",2
a2e3,['270f'],1
a344,['9a23'],1
dca8,['be7f'],1
ddf8,"['1448', '13fa']",2
de69,['1128'],1
dec4,['13fa'],1
df22,['be61'],1
e06a,['11c2'],1
e992,"['117f', '1144', '112f', '111c', '1128', '1123', '113d', '114b']",8
e9fc,"['11f0', '11a1', '123e', '149b']",4
eabc,"['bee8', 'beac', 'bebb', 'be61', 'beca', 'be52', 'be9d']",7
eb0d,['14c2'],1
ebc9,"['beca', 'bf06']",2
ec01,"['6692', '9b0d']",2
ec67,['149b'],1
ecb7,['9b10'],1
edbd,['88a4'],1
ee94,['9b0a'],1
9176,['be4d'],1
91a2,['be9d'],1
91cc,"['998f', '997d', 'e0df', '9983', 'e167']",5
249a,"['c220', 'c112']",2
2589,"['1123', '111c', '117f']",3
2719,"['3b4f', '3c05']",2
277d,['e167'],1
2857,['9b0a'],1
2c5c,['c421'],1
2cfb,"['894a', '88cd']",2
2e5f,['9b0d'],1
2f96,['c112'],1
3082,['1f49'],1
c050,"['ed71', 'ed68', 'ed6e', 'ed6b']",4
c0b6,['1f75'],1
c0fe,['8942'],1
c2d8,['7763'],1
c2ff,['c470'],1
4c46,['e318'],1
4f54,['6659'],1
5317,['e175'],1
535a,"['897a', '8865']",2
53a4,"['1f6b', '1f9b', '1f8e']",3
548a,['1f4c'],1
549e,['2978'],1
554d,['be52'],1
55aa,"['fd58', 'fd30', 'fd05']",3
55ae,['e207'],1
566a,['26a0'],1
6a17,['b8b8'],1
6af8,['b89e'],1
6bc5,['e8d0'],1
6cbc,['b86a'],1
6dd3,['b891'],1
6f2e,"['45f5', 'd689', '453d']",3
6fa9,"['9a9b', '9a8d']",2
7126,['f018'],1
72cb,['99a4'],1
739f,['ea39'],1
7448,['450f'],1
7471,"['06e6', '06e3', '01a8', '01c8']",4
765a,"['22a1', '22a4']",2
7685,['21c3'],1
7af4,['e2bd'],1
7b80,['695e'],1
7c9a,['3825'],1
7d76,"['e2bd', 'e2d1', 'e2d7']",3
8490,"['6ad2', '6cd9', '6dcf']",3
86f5,"['9d17', '9d11', '3986']",3
8751,['ea59'],1
8845,"['bf7c', 'c308', '9b6c', '6b23', '59a7', '6fac', '68b2']",7
888f,"['60cd', '9d0e', '22a7']",3
88d1,"['25c3', '765e']",2
892e,['f000'],1
89e9,['3e49'],1
8a5c,"['9f2b', '6e41', '01f5', '6b23', '6fac', '4c1e', '283c', 'c554']",8
8a8e,['f50b'],1
8b24,['c421'],1
8c72,['3e49'],1
8e22,['3e46'],1
8e72,"['9d02', '9cfc', '9d29', '9cff']",4
8ede,['e9f5'],1
8fde,"['61f5', '6213']",2
9001,['3e49'],1
9080,['3e46'],1
90b7,"['2dc6', 'dd60']",2
a8d8,['016c'],1
a936,['9992'],1
aa38,['9992'],1
b11d,"['bef5', '59a7']",2
b148,['e08d'],1
b150,['e9df'],1
b18e,['bd8b'],1
b1bb,"['9d17', '9d11']",2
b1d0,['ea66'],1
b1f1,['e307'],1
b222,['9d49'],1
c7cd,"['f61a', 'f61f', 'f615', 'f610']",4
c936,['f62d'],1
c991,['e1ed'],1
cbf6,['1f52'],1
cc60,['e361'],1
ccfd,['b7c8'],1
cdda,['4513'],1
ce61,"['45e9', '43ac', '4354', '44a7']",4
e6ac,['010c'],1
e78d,"['039f', '0399', '0391', '038a']",4
e7eb,['9f39'],1
e804,['e932'],1
e868,['00a6'],1
e89d,['d707'],1
ec58,['e9c6'],1
eed4,"['fd05', 'fd58']",2
19fa,['9f39'],1
1c06,['be0e'],1
1c6d,['2e47'],1
1c75,"['38e5', '38d4']",2
1c80,['9f44'],1
1c8a,['a01c'],1
1c98,['fd0f'],1
1ca3,['3403'],1
1caf,['3187'],1
1d9f,['31d8'],1
1db4,['fb9a'],1
1dca,['453d'],1
1e75,['98b1'],1
1f1b,['96b3'],1
1f63,['96b3'],1
1f84,"['4657', '46a5', '4616', '4671']",4
1f93,"['ed4a', '9692']",2
1fb3,['96b3'],1
1fbc,['be29'],1
1fd4,"['9683', 'ed4d']",2
2147,['9f39'],1
2178,"['e33f', 'e304', 'e336']",3
218a,"['bd7f', '3403', 'bd8b']",3
21eb,['b8f6'],1
222d,['e33f'],1
2246,"['d707', '4566']",2
228c,['be38'],1
22e2,['9f44'],1
2383,"['22a1', '22a4']",2
23ca,['4566'],1
247b,['9f44'],1
24f6,['3ed3'],1
2519,['ef9e'],1
36e6,['e051'],1
5998,['886c'],1
59ce,"['14d1', '367a', '3677', '9f31']",4
5c57,['016f'],1
6de0,['91fa'],1
6e65,"['9b6c', '11e3', '283c', '0f1f', '4c1e', '20a9', '748e', '7499', 'aa93', '6090', '608a', 'c622', 'bfa3', '375f']",14
7006,['9eaa'],1
7028,['e2d1'],1
7071,['e1fb'],1
70f6,['fd47'],1
7193,"['0cd5', '0cd2', '0ce4', '0ce7']",4
71de,['3307'],1
7246,"['6eaa', '6ead', '6eb3']",3
7319,['88e5'],1
7376,['0166'],1
7658,"['9ee9', '1198', '368c', '367d']",4
7688,"['0169', '016c']",2
76b4,['3388'],1
76df,['9f0a'],1
fc8e,"['1198', '88c5']",2
fe29,['b7db'],1
fe37,"['f44b', 'e1e0', '2e67', '12e8', 'c4a7', '13fa', '13e0', '1288', '68cd', '6901', 'b884', 'e17c', '1217', 'beca', 'e8f7', '793c', '13a0', '11a1', '13ad', '1295', '11c2', '748e', '120a', '7e82', '9beb']",25
051d,"['015d', '0078']",2
052e,['fd47'],1
0564,"['e2d1', 'e2bd']",2
056d,"['6db1', '6d36', '6f97', '6de4', '6d8d']",5
05a9,"['6ac6', '6e05', '6e11', '6c37', '6ab7', '6aa2', '6bfe', '6bc5']",8
11fa,"['016c', '0169']",2
1243,['0169'],1
1254,['6fc1'],1
1273,['6e56'],1
1365,"['9b6c', '11e3', '283c', '20a9']",4
1366,"['6e5c', '8962']",2
139e,"['3689', '65e7', '6b26', '6d30', '6c73']",5
13ba,['016c'],1
13ea,['fd47'],1
1407,"['3655', 'c4f7', '1198']",3
143a,['016f'],1
147e,"['9e86', '886c']",2
1518,['6955'],1
16e6,['e2e8'],1
174d,"['8875', '8972', '65e7']",3
177d,['1f58'],1
17f4,['6e56'],1
18df,['fd05'],1
18ed,"['367d', '9eec']",2
1954,['c8da'],1
1a38,['0cc9'],1
2dbc,"['368c', '9147', '3677']",3
2e25,['84f4'],1
2e44,"['350c', '1198']",2
2ee0,['8972'],1
2ef4,"['9f0d', '14cf', '01cb', '9edd']",4
2f09,['6e4d'],1
2f2a,['b7cf'],1
2f4c,"['3655', '1198']",2
2f8a,['337f'],1
2fc8,['016c'],1
2fd9,['9147'],1
2fed,"['b7e3', 'b933', 'b877', 'e904', 'b926', 'b8ff', 'e8ea', 'b85d', 'b8c5', 'b89e', 'b8b8', 'f34b', 'b843', 'e8f7', 'b850', 'b884', 'b818', 'b90c', 'b8ab', 'f4b3', 'e8d0', 'b8df', 'b891']",23
308b,['34c5'],1
5c43,"['84f4', '883a']",2
5c89,"['369f', '9eec']",2
5ced,['883a'],1
5cf9,"['1198', '01c8', '118c']",3
5d55,['88f6'],1
5d71,['6e47'],1
5d7b,"['0078', '9e98']",2
5db2,['3388'],1
5dbb,['0078'],1
5e63,['119e'],1
5e77,['9b0a'],1
5ee1,['e2d7'],1
5f3c,"['35d9', '9efe', 'b7cf']",3
5f71,['3706'],1
